Species,a,b
CRO_ALTI,0.0962,2.489
ANY_LEUC,0.0014,3.543
CEP_ARGU,0.0093,3.181
CEP_BOEN,0.0146,3.019
CEP_CYAN,0.0115,3.109
CEP_MICR,0.0115,3.109
CEP_MINI,0.0107,3.114
CEP_UROD,0.0282,2.818
EPI_COIO,0.0099,3.102
EPI_CYAN,0.0111,3.114
EPI_FASC,0.0138,3.041
EPI_FUSG,0.0134,3.057
EPI_MACR,0.0132,3.031
EPI_MERR,0.0158,2.966
EPI_ONGU,0.019,2.928
EPI_QUOY,0.0122,3.053
EPI_SPIL,0.0122,3.053
EPI_TAUV,0.0122,3.053
EPI_UNDU,0.0122,3.053
GNA_AURO,0.018,3.063
LET_ATKI,0.0178,3.057
LET_ERUS,0.0165,3.043
LET_ERYT,0.0165,3.043
LET_HARA,0.017,3.042
LET_MINI,0.0066,3.277
LET_NEBU,0.0187,2.996
LET_OBSO,0.0173,3.026
LET_OLIV,0.0294,2.851
LET_ORNA,0.0165,3.043
LET_RUBR,0.0128,3.108
LET_XANT,0.0201,2.964
MON_GRAN,0.023,3.022
LUT_ADET,0.0071,3.057
LUT_ARGE,0.028,2.844
LUT_BOHA,0.0156,3.059
LUT_CARP,0.0211,2.974
LUT_FLMA,0.0205,2.96
LUT_FULV,0.0211,2.974
LUT_GIBB,0.0131,3.138
LUT_KASM,0.0084,3.247
LUT_LEMN,0.0131,3.138
LUT_LUTJ,0.0146,3.1
LUT_MONO,0.0222,2.913
LUT_QUIN,0.0146,3.1
LUT_RIVU,0.0084,3.26
LUT_RUSS,0.0166,2.978
LUT_SEBA,0.0116,3.152
LUT_VITT,0.0125,3.075
MCR_GROP,0.0147,3.046
PMS_LAEV,0.0059,3.238
PMS_LEOP,0.0118,3.06
PMS_MACU,0.0107,3.086
VAR_LOUT,0.0122,3.079
