Taxa,Convert
ACN.POLY,20
AMB.AURE,20
AMB.CURA,20
AMB.LEUC,20
AMP.AKIN,20
AMP.CHRY,20
AMP.CLAR,20
AMP.MELA,20
AMP.PERC,20
AMP.PERI,20
CHR.ALIS,20
CHR.AMBO,20
CHR.APES,20
CHR.CHRY,20
CHR.IOME,20
CHR.LEPI,20
CHR.LINE,20
CHR.MARG,20
CHR.NITI,20
CHR.RETR,20
CHR.TERN,20
CHR.VAND,20
CHR.WEBE,20
CHR.XANT,20
CHY.FLAV,20
CHY.REX,20
CHY.ROLL,20
CHY.TALB,20
DAS.ARUA,20
DAS.MELA,20
DAS.RETI,20
DAS.TRIM,20
DIS.MELA,20
DIS.PERS,20
DIS.PROS,20
DIS.PSEU,20
HGY.PLAG,20
NEG.MELA,20
NEG.NIGR,20
NEG.POLY,20
NEO.AZYS,20
NEO.BANK,20
NEO.CYAN,20
PCH.RICH,20
PGY.DICK,20
PGY.JOHN,20
PGY.LACR,20
POM.ADEL,20
POM.AMBO,20
POM.AUST,20
POM.BANK,20
POM.BRAC,20
POM.CHRY,20
POM.COEL,20
POM.GRAM,20
POM.LEPI,20
POM.MOLU,20
POM.NAGA,20
POM.PHIL,20
POM.VAIU,20
POM.WARD,20
PRE.BIAC,20
STE.APIC,20
STE.FASC,20
STE.GASC,20
STE.NIGR,20
